pos_v2;tras_original;titulo;concepto;archivo_commons;autor;licencia;px;url
247;165;;La ignicion por rayo depende de si la tormenta es seca o con agua, y esa distincion no esta documentada para Chile.;Lightning strike over the Danube (Budapest, Hungary).jpg;Jules Verne Times Two;CC BY-SA 4.0;6000x3651;https://commons.wikimedia.org/wiki/File:Lightning_strike_over_the_Danube_(Budapest,_Hungary).jpg
249;166;El sondeo es de un solo lugar;El sondeo es de un lugar, de un momento, sin el incendio y sin la microescala: en Chile el limite mayor es la distancia.;Highest weather station in the Andes installed on Mount Tupungato, South America.jpg;European Union , Copernicus Sentinel-2 imagery;Attribution;4400x2540;https://commons.wikimedia.org/wiki/File:Highest_weather_station_in_the_Andes_installed_on_Mount_Tupungato,_South_America.jpg
252;168;;Un sondeo bien leido entrega dos cifras: hasta donde sube la columna y hacia donde va lo que la columna suelta.;2009 Victorian bushfires smoke plume over NZ.jpg;Jeff Schmaltz, MODIS Land Rapid Response Team, NASA GSFC;Public domain;6400x3400;https://commons.wikimedia.org/wiki/File:2009_Victorian_bushfires_smoke_plume_over_NZ.jpg
254;169;Aquí el incendio hace su propio tiempo;Apertura del bloque de piroconvección: a partir de cierto punto el incendio deja de sufrir la atmosfera y pasa a fabricarla.;Pyrocumulonimbus over Victoria.jpg;Merrin Macleod;CC BY-SA 4.0;4896x3672;https://commons.wikimedia.org/wiki/File:Pyrocumulonimbus_over_Victoria.jpg
256;170;El humo que se convierte en nube;La piroconveccion es una gradacion: columna de humo, pirocumulo, pirocumulonimbo. El pirocumulo es condensacion sobre la columna.;Detail of pyrocumulonimbus.jpg;Merrin Macleod;CC BY-SA 4.0;4896x3672;https://commons.wikimedia.org/wiki/File:Detail_of_pyrocumulonimbus.jpg
263;176;La atmósfera decide hasta dónde sube;El desarrollo de la columna ocurre por etapas, y quien las define es la estructura vertical de la atmosfera, no el incendio.;Smoke column - High Park Wildfire.jpg;U.S. Department of Agriculture;Public domain;2488x1866;https://commons.wikimedia.org/wiki/File:Smoke_column_-_High_Park_Wildfire.jpg
269;181;;"La pavesa viaja con el viento del nivel donde la columna la solto; una columna inclinada delata direcciones distintas en altura y en superficie.";Smoke Column - Mangum Fire.jpg;Kaibab National Forest, Arizona;Public domain;4032x3024;https://commons.wikimedia.org/wiki/File:Smoke_Column_-_Mangum_Fire.jpg
271;182;La brasa enciende donde la llama no;La pavesa es una brasa, y la ignicion por brasa ocurre con combustible mas humedo que la ignicion por llama: el terreno receptivo es mas amplio.;Elk Fire Burned Area (52117312613).jpg;Joshua Tree National Park;Public domain;7360x4912;https://commons.wikimedia.org/wiki/File:Elk_Fire_Burned_Area_(52117312613).jpg
273;183;;"El reventon es una corriente descendente convectiva que golpea el suelo y se abre; se distingue por tamano y por si trae o no agua al suelo.";Storm Damage N.K.C. MO.JPG;Jbenof3;CC BY-SA 4.0;3264x2448;https://commons.wikimedia.org/wiki/File:Storm_Damage_N.K.C._MO.JPG
280;189;No se reposiciona: se sale antes;El reventon llega desde arriba y se abre radialmente en superficie: no hay direccion que anticipar ni aviso gradual, y dura minutos.;Haboob Ransom Canyon Texas 2009.jpg;Leaflet;CC BY-SA 3.0;4000x2334;https://commons.wikimedia.org/wiki/File:Haboob_Ransom_Canyon_Texas_2009.jpg
283;191;;La nubosidad sobre el incendio es un instrumento en tiempo real, y hay tipos de nube que son senal critica para los combatientes.;Cumulus pileus.jpg;User:Dhaluza;CC BY 2.5;3072x2304;https://commons.wikimedia.org/wiki/File:Cumulus_pileus.jpg
286;193;Cuando deja de inclinarse, cambió la etapa;Cuando la columna deja de inclinarse, el incendio paso a estar dominado por su propia conveccion y cambio de etapa.;Massive Plume of Smoke from an Eruption at Kīlauea (Colorized) (c77f6dba-ef3e-45cb-877c-47b919f9ee6a).tif;Maehara, Kenichi - The Volcano Photo Studio;Public domain;4328x5469;https://commons.wikimedia.org/wiki/File:Massive_Plume_of_Smoke_from_an_Eruption_at_K%C4%ABlauea_(Colorized)_(c77f6dba-ef3e-45cb-877c-47b919f9ee6a).tif
288;194;Todo índice empieza en una medición;Apertura del bloque de indices y datos: todo indice comprime variables medidas, y antes del numero hay una observacion real.;Smoke and Fire near Santiago, Chile (MODIS).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;2352x1674;https://commons.wikimedia.org/wiki/File:Smoke_and_Fire_near_Santiago,_Chile_(MODIS).jpg
291;196;;Los indicadores operativos de CONAF, probabilidad de ignicion y humedad del combustible fino muerto, salen de mediciones en terreno.;Sheyenne National Grassland in Summer, North Dakota (51903738184).jpg;Forest Service - Northern Region;Public domain;4320x2432;https://commons.wikimedia.org/wiki/File:Sheyenne_National_Grassland_in_Summer,_North_Dakota_(51903738184).jpg
294;198;El umbral no dice de dónde sopla;El Boton Rojo es un umbral de alerta con ventana horaria vespertina, pero no incorpora la direccion del viento, que en Chile es lo que manda.;Smoke in the sunset (54771829249).jpg;Region 5 Photography;Public domain;4032x3024;https://commons.wikimedia.org/wiki/File:Smoke_in_the_sunset_(54771829249).jpg
296;199;Un solo número para cuatro combustibles;El sistema chileno no tiene calibracion publicada de la Probabilidad de Ignicion para los complejos de combustible reales del pais.;Grass close-up at sunset in Turkey.JPG;Ximeg;CC BY-SA 3.0;3168x2376;https://commons.wikimedia.org/wiki/File:Grass_close-up_at_sunset_in_Turkey.JPG
298;200;La grilla fina no cubre el país;"La meteorologia de alta resolucion solo cubre la franja Valparaiso-Araucania; el resto del pais trabaja con modelo global.";ISS-58 Argentina, Chile and the Andes mountains.jpg;NASA;Public domain;5568x3712;https://commons.wikimedia.org/wiki/File:ISS-58_Argentina,_Chile_and_the_Andes_mountains.jpg
301;202;Hasta aquí sube el humo;El Indice de Haines fue descontinuado y reemplazado por la altura de mezcla.;Wildfire smoke plume at northern Paraguay.jpg;Coordenação-Geral de Observação da Terra/INPE;CC BY-SA 2.0;4672x4672;https://commons.wikimedia.org/wiki/File:Wildfire_smoke_plume_at_northern_Paraguay.jpg
304;204;;"El Haines describia incendios dominados por columna; en un incendio dominado por viento sinoptico nunca dijo nada util.";Smoke from California wildfires (MODIS 2017-12-12).jpg;Jeff Schmaltz, MODIS Land Rapid Response Team, NASA GSFC;Public domain;4400x3400;https://commons.wikimedia.org/wiki/File:Smoke_from_California_wildfires_(MODIS_2017-12-12).jpg
307;206;Una tarde de lluvia no llega abajo;La sequedad se organiza en estratos con tiempos distintos: una lluvia recupera el combustible fino y no toca el suelo organico.;Spring-showers-valley-rainbow - West Virginia - ForestWander.jpg;ForestWander;CC BY-SA 3.0 us;5616x3744;https://commons.wikimedia.org/wiki/File:Spring-showers-valley-rainbow_-_West_Virginia_-_ForestWander.jpg
310;208;Sin terreno detrás, es solo aritmética;Un indice sin cuerpo de validacion publicado es una expresion aritmetica, no una prediccion.;Klatka i stacja meteo.jpg;A. Kardaś;CC BY-SA 4.0;3600x2400;https://commons.wikimedia.org/wiki/File:Klatka_i_stacja_meteo.jpg
317;214;;Sin radar sobre la zona forestal, el reventon solo puede anticiparse con el sondeo y con la observacion visual de la conveccion.;Virga rain at sunrise 7th Brigade Park Chermside L1140794.jpg;John Robert McPherson;CC BY-SA 4.0;4112x3088;https://commons.wikimedia.org/wiki/File:Virga_rain_at_sunrise_7th_Brigade_Park_Chermside_L1140794.jpg
319;215;El umbral no mira la veleta;El Boton Rojo fija umbrales de humedad y velocidad, pero no incorpora la direccion del viento, que en Chile es la variable que manda.;Meteo station - panoramio.jpg;alinco_fan;CC BY 3.0;2048x1536;https://commons.wikimedia.org/wiki/File:Meteo_station_-_panoramio.jpg
321;216;;Apertura del bloque sobre los cambios atmosfericos que han matado personal en incendios forestales.;Wildfire (14503287131).jpg;Photo by Mike Lewelling, National Park Service;Public domain;4128x2322;https://commons.wikimedia.org/wiki/File:Wildfire_(14503287131).jpg
326;220;El viento giró y se triplicó;Mann Gulch: un giro y triplicacion del viento sobre hierba curada en ladera empinada y terreno confinado.;Burning grass kazi.jpg;Joost Naber;CC BY 2.0;2048x1359;https://commons.wikimedia.org/wiki/File:Burning_grass_kazi.jpg
328;221;;South Canyon: un frente frio SECO que giro y multiplico el viento dentro de un canon, con informacion que existia y no fue solicitada.;A Strong Fall Cold Front and a Late Season Tropical Storm (6330023430).jpg;NASA Goddard Space Flight Center from Greenbelt, MD, USA;Public domain;3600x3000;https://commons.wikimedia.org/wiki/File:A_Strong_Fall_Cold_Front_and_a_Late_Season_Tropical_Storm_(6330023430).jpg
330;222;La celda era visible con antelación;Yarnell Hill: el frente de rafaga de una tormenta que era visible y anticipable con decenas de minutos de margen.;Thunderstorm with lead gust front - NOAA.jpg;;Public domain;1832x1208;https://commons.wikimedia.org/wiki/File:Thunderstorm_with_lead_gust_front_-_NOAA.jpg
332;223;El caso chileno sin análisis publicado;El unico accidente fatal chileno identificado no tiene analisis meteorologico publico: el fenomeno chileno esta registrado desde el espacio, pero no analizado en papel.;Partially burned forest along trail 223 in the Pecos Wilderness of the Santa Fe National Forest. Hermits Peak is visible in the distance.jpg;Matthew.kowal;CC BY-SA 4.0;5768x3845;https://commons.wikimedia.org/wiki/File:Partially_burned_forest_along_trail_223_in_the_Pecos_Wilderness_of_the_Santa_Fe_National_Forest._Hermits_Peak_is_visible_in_the_distance.jpg
337;227;;LCES: el observador existe precisamente para ver lo que el analisis meteorologico no alcanzo a anticipar.;Oregon Firefighters (53080202866).jpg;Forest Service Photography;Public domain;3840x2160;https://commons.wikimedia.org/wiki/File:Oregon_Firefighters_(53080202866).jpg
339;228;Mismo mecanismo, giro invertido;La casuistica del hemisferio norte se traduce corrigiendo el sentido de los giros: el mecanismo no cambia, la geometria si.;Southern hemisphere extratropical cyclone.jpg;NASA, MODIS Rapid Response System;Public domain;6000x4792;https://commons.wikimedia.org/wiki/File:Southern_hemisphere_extratropical_cyclone.jpg
342;230;La información existía antes del accidente;Los accidentes se producen en las transiciones, y el fallo mas frecuente no es de prediccion sino de circulacion de la informacion que ya existia.;100th CES simulates readiness disaster response (7772700).jpg;U.S. Air Force photo by Airman 1st Class Katie Mullikin;Public domain;5708x3798;https://commons.wikimedia.org/wiki/File:100th_CES_simulates_readiness_disaster_response_(7772700).jpg
344;231;Donde termina lo que se puede afirmar;"Separador de bloque: donde termina lo que la evidencia permite afirmar; doce brechas verificadas sobre un territorio inmenso y poco observado.";Gigantic jet photographed by Nichole Ayers on the International Space Station.jpg;NASA/Nichole Ayers;Public domain;8256x5504;https://commons.wikimedia.org/wiki/File:Gigantic_jet_photographed_by_Nichole_Ayers_on_the_International_Space_Station.jpg
347;233;;El registro que falta ya existe en las regiones: estaciones, bitacoras y observaciones de terreno esperando reconstruccion sistematica.;Incident Remote Automatic Weather Station (9407).jpg;Flathead Agency/BIA;Public domain;1960x1103;https://commons.wikimedia.org/wiki/File:Incident_Remote_Automatic_Weather_Station_(9407).jpg
